Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_c.AVG_Signal	KHYG1_ctrl_c.Avg_NBEADS	KHYG1_ctrl_c.BEAD_STDERR	KHYG1_ctrl_c.Detection Pval
ILMN_1735471	105.7123	20	3.273705	0.08701298
ILMN_1699636	238.66	17	12.49246	0
ILMN_2371379	952.5531	31	27.52508	0
ILMN_1749014	545.9589	10	23.05344	0
ILMN_1727091	100.56	17	5.166673	0.3168831
ILMN_1771348	1085.762	22	49.58464	0
ILMN_2134039	608.9233	21	15.49005	0
ILMN_1750800	411.2792	18	16.03232	0
ILMN_1654861	294.479	14	21.34105	0
ILMN_2121389	104.4172	20	3.793774	0.1337662
ILMN_1715543	94.9623	22	2.777515	0.8025974
ILMN_1739594	102.5552	17	5.341084	0.2051948
ILMN_2353978	95.66409	24	1.754313	0.7441558
ILMN_1785474	103.7221	24	3.855083	0.1636364
ILMN_2188959	90.0724	13	2.762528	0.9844156
ILMN_1716237	96.10835	22	1.953636	0.7064935
ILMN_1764321	99.2648	18	4.602123	0.4233766
ILMN_2156699	96.16326	17	2.370775	0.7038961
ILMN_1784756	91.91758	28	2.723269	0.9571428
ILMN_1728883	95.63403	22	2.903445	0.7454545
ILMN_1740265	2163.998	16	71.67937	0
ILMN_1788078	105.3111	21	3.476195	0.1
ILMN_2252621	95.21242	20	2.771499	0.7883117
ILMN_2332250	634.2154	17	27.94588	0
ILMN_1719178	95.21899	29	1.780371	0.7883117
ILMN_1679600	170.2822	15	5.562149	0
ILMN_2367070	134.5733	21	5.201326	0
ILMN_1658995	178.5921	28	6.365974	0
ILMN_1750158	131.8774	18	6.418441	0
ILMN_1668839	92.44573	20	2.266206	0.938961
ILMN_1765767	100.7356	24	3.491514	0.3090909
ILMN_1685703	124.9193	16	5.089	0
ILMN_1743396	153.4191	20	3.126289	0
ILMN_1743680	97.09387	19	4.584784	0.6116883
ILMN_1669633	628.576	24	25.71816	0
ILMN_2344956	3507.708	22	166.3468	0
ILMN_2104830	165.9531	24	4.734134	0
ILMN_2078599	97.16721	24	2.40777	0.6077922
ILMN_2234343	100.6015	24	2.544664	0.3142857
ILMN_1706598	153.7869	19	4.75909	0
ILMN_2306955	149.4065	21	4.615209	0
ILMN_1758323	99.27194	25	2.894657	0.4233766
ILMN_1728331	114.38	24	4.555981	0.006493506
ILMN_2351906	102.756	21	3.724676	0.2
ILMN_1705637	101.108	22	3.53507	0.2909091
ILMN_1784203	96.40829	19	3.696913	0.6831169
ILMN_1666690	115.5338	22	3.65291	0.003896104
ILMN_1654468	103.8223	17	3.773958	0.161039
ILMN_2320277	98.51727	15	3.395791	0.4922078
ILMN_2227011	102.3344	21	4.525535	0.2181818
ILMN_1730002	96.82934	24	2.46783	0.6454545
ILMN_3236756	136.1331	24	3.542405	0
ILMN_1716832	111.8677	26	4.231964	0.01558442
ILMN_1684585	163.7636	23	8.282418	0
ILMN_2360705	486.4545	23	19.88172	0
ILMN_1654414	116.0075	29	3.630622	0.003896104
ILMN_1666096	139.8213	27	4.76754	0
ILMN_2391458	112.5896	18	4.945247	0.01038961
ILMN_2285506	94.14561	21	3.126351	0.864935
ILMN_1691714	100.6018	18	5.85542	0.3142857
ILMN_1683598	261.285	26	10.81758	0
ILMN_2370882	167.727	15	6.699447	0
ILMN_2273911	111.5363	15	3.522398	0.01948052
ILMN_1807914	97.54253	19	4.857716	0.5857143
ILMN_1678517	99.03571	23	2.574843	0.438961
ILMN_1705247	454.6169	20	16.44404	0
ILMN_1737418	99.7969	17	3.841754	0.3818182
ILMN_2278242	100.9809	20	4.693566	0.2974026
ILMN_1730025	96.62838	31	2.500625	0.6597403
ILMN_2378555	95.84027	34	2.510467	0.725974
ILMN_1661434	94.50744	30	2.153661	0.8428571
ILMN_1809623	99.63097	21	2.310102	0.3987013
ILMN_1657592	100.4512	23	2.767088	0.3207792
ILMN_1765912	99.93237	18	4.857844	0.3597403
ILMN_1746128	98.43424	26	2.63753	0.4987013
ILMN_1685952	102.6343	20	2.619057	0.2038961
ILMN_1662738	105.6649	27	3.504906	0.08701298
ILMN_1771084	118.6534	22	3.827102	0.003896104
ILMN_1791923	97.92475	19	3.20505	0.5441558
ILMN_1801698	94.97259	21	2.611167	0.8
ILMN_1766966	94.35518	20	1.415057	0.8545455
ILMN_2070792	101.5433	24	3.496897	0.2662338
ILMN_1752269	216.7753	21	7.40656	0
ILMN_1697510	100.3895	24	3.067709	0.325974
ILMN_2254962	99.93713	18	2.643589	0.3597403
ILMN_2336595	112.8251	22	2.00805	0.009090909
ILMN_1714197	133.2298	18	5.478232	0
ILMN_1742859	105.264	17	5.276495	0.1038961
ILMN_1659885	100.6247	27	3.493641	0.3116883
ILMN_2125869	96.36475	19	2.974666	0.6857143
ILMN_1671703	232.8929	20	8.363277	0
ILMN_2152131	11195.55	20	215.1437	0
ILMN_1777296	9441.911	20	376.9511	0
ILMN_2038777	6980.837	26	285.4616	0
ILMN_3246895	92.98841	32	1.798586	0.9194805
ILMN_1658660	101.2253	22	1.829517	0.2844156
ILMN_1829919	101.7053	22	3.472624	0.261039
