Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_c.AVG_Signal	KHYG1_si308_c.Avg_NBEADS	KHYG1_si308_c.BEAD_STDERR	KHYG1_si308_c.Detection Pval
ILMN_2318685	139.7685	21	6.052554	0
ILMN_2245305	151.8595	32	4.901294	0
ILMN_1707925	94.22674	21	2.755251	0.7025974
ILMN_1698311	100.4837	14	4.095161	0.2233766
ILMN_2367487	94.40958	28	2.784817	0.687013
ILMN_1785285	101.058	24	4.251841	0.1922078
ILMN_2073969	93.34299	17	2.917387	0.7532467
ILMN_1794213	360.3908	27	10.9809	0
ILMN_2227533	154.6142	25	5.615631	0
ILMN_1769390	142.2015	27	5.01268	0
ILMN_2403446	100.6405	16	3.539951	0.2077922
ILMN_1787618	92.55521	17	2.750501	0.8168831
ILMN_1723662	115.1064	17	3.459123	0.002597403
ILMN_1801767	261.1869	29	8.266293	0
ILMN_1700633	101.0517	21	2.791436	0.1922078
ILMN_1655702	135.5674	23	6.330695	0
ILMN_1706344	214.5872	31	6.548444	0
ILMN_1719498	100.5232	20	3.080833	0.2207792
ILMN_1712707	98.25538	25	2.608031	0.3623376
ILMN_1699750	109.9159	28	3.377608	0.02207792
ILMN_1739081	104.0121	33	2.520119	0.09090909
ILMN_2329958	190.4662	18	5.989796	0
ILMN_1775944	127.864	20	5.364303	0
ILMN_1724497	241.962	24	10.59127	0
ILMN_1720988	116.516	26	3.175863	0.002597403
ILMN_1707274	93.99248	19	2.457738	0.7181818
ILMN_1755658	179.2115	26	5.974642	0
ILMN_1673639	97.09461	24	3.111233	0.4623377
ILMN_1713732	138.7205	26	5.03728	0
ILMN_1708922	101.8484	23	2.270921	0.1584416
ILMN_2268241	104.353	20	3.461679	0.08311688
ILMN_1741628	100.4149	24	2.950399	0.2285714
ILMN_1657870	93.50543	32	2.40146	0.7454545
ILMN_2240003	100.9814	23	4.250679	0.1948052
ILMN_1785424	343.8818	20	8.904316	0
ILMN_1731610	110.5534	25	3.516627	0.02207792
ILMN_1696682	102.7552	22	4.350698	0.1285714
ILMN_2396672	179.3654	17	5.196948	0
ILMN_1758825	105.4551	25	3.895123	0.06363636
ILMN_1656940	98.12387	22	3.203669	0.3727273
ILMN_1656979	87.07716	18	3.203595	0.9844156
ILMN_1731433	94.35115	22	2.427033	0.6922078
ILMN_1672878	461.9727	17	23.77986	0
ILMN_1655114	101.0234	23	2.888475	0.1922078
ILMN_1657045	94.18937	24	2.64589	0.7051948
ILMN_1766991	94.46893	28	2.076089	0.6818182
ILMN_1658083	139.3197	11	8.988921	0
ILMN_1802096	147.0991	22	3.586978	0
ILMN_2367165	101.0847	22	3.228843	0.1896104
ILMN_1753370	99.22604	26	2.887835	0.2935065
ILMN_1738921	234.8517	29	9.407256	0
ILMN_1660199	1173.779	17	57.5768	0
ILMN_2331636	230.9359	19	4.090734	0
ILMN_1772123	208.8603	21	5.949252	0
ILMN_1667641	92.58275	18	2.357922	0.8142857
ILMN_1763852	99.28137	32	2.639857	0.2922078
ILMN_1687303	117.7437	16	3.17436	0.001298701
ILMN_1761058	137.3222	26	3.522633	0
ILMN_2225595	172.3869	23	6.369491	0
ILMN_1724699	112.3073	23	2.908254	0.01038961
ILMN_1775579	322.7558	20	11.70837	0
ILMN_1660890	94.72911	25	2.341257	0.6597403
ILMN_1778104	409.753	15	8.294074	0
ILMN_2053679	659.4639	22	30.98265	0
ILMN_1795104	106.3015	30	3.219815	0.05194805
ILMN_1740920	101.2448	30	2.5927	0.1857143
ILMN_2263466	110.8334	18	3.159507	0.02077922
ILMN_1806408	1050.179	30	32.61489	0
ILMN_2352009	273.6678	10	8.864763	0
ILMN_1693148	97.78647	18	3.792468	0.4038961
ILMN_1808395	292.5501	24	9.219287	0
ILMN_3236270	123.4075	13	5.742993	0
ILMN_1743847	96.65353	20	2.430253	0.5116883
ILMN_1800008	940.8669	13	57.15083	0
ILMN_2133799	112.7644	12	5.000935	0.007792208
ILMN_1708672	1107.749	23	55.50508	0
ILMN_1665945	279.0328	16	17.3527	0
ILMN_1676288	103.8377	15	4.891577	0.0987013
ILMN_1693250	102.0708	14	2.739725	0.1532468
ILMN_2295980	96.58763	16	4.927026	0.5142857
ILMN_2410362	103.9055	7	6.240573	0.0948052
ILMN_1684271	207.6828	18	8.495096	0
ILMN_1726388	96.98657	28	2.075123	0.4714286
ILMN_2106002	98.2654	23	2.018435	0.3623376
ILMN_1779685	102.9502	13	2.429103	0.1220779
ILMN_1665932	99.12786	27	2.480695	0.2961039
ILMN_1769694	95.01119	24	3.764517	0.6402597
ILMN_1727251	89.31041	26	2.334245	0.9597403
ILMN_1734479	103.5942	26	2.587516	0.1064935
ILMN_2368728	95.09097	26	1.840242	0.6337662
ILMN_2394897	95.91157	26	2.262019	0.5714286
ILMN_2394902	95.48823	22	2.294179	0.6025974
ILMN_2287535	95.97455	19	3.367574	0.5675325
ILMN_1750295	97.33112	28	2.614839	0.4363636
ILMN_3187680	120.8481	18	4.535186	0
ILMN_3242266	96.13748	32	1.913351	0.5493507
ILMN_1780630	93.28613	23	1.680298	0.7597402
ILMN_1716480	326.4474	27	11.58056	0
ILMN_1715192	96.1395	24	3.000406	0.5493507
ILMN_2339410	91.78684	17	2.486268	0.8727273
ILMN_1779984	96.90691	29	3.153009	0.4818182
ILMN_1667018	98.16147	19	3.535217	0.3675325
ILMN_1773243	95.01579	20	2.306206	0.6402597
ILMN_3241214	95.23154	22	2.607244	0.6220779
ILMN_3235340	150.3883	20	5.778647	0
ILMN_1761000	101.4053	19	2.800694	0.1792208
ILMN_3237774	114.5471	21	3.171921	0.002597403
ILMN_2333219	94.35715	14	4.944615	0.6909091
ILMN_1780485	104.663	28	3.485099	0.07662338
ILMN_1735471	102.0316	12	6.823182	0.1532468
ILMN_1699636	190.6911	18	7.642813	0
ILMN_2371379	765.2289	21	30.44433	0
ILMN_1749014	512.5557	19	35.5783	0
ILMN_1727091	101.6627	18	3.592904	0.1649351
ILMN_1771348	1186.812	18	59.97674	0
ILMN_2134039	599.5078	24	18.2779	0
ILMN_1750800	365.1061	22	10.31912	0
ILMN_1654861	235.9532	29	9.094511	0
ILMN_2121389	99.16747	14	2.326629	0.2948052
ILMN_1715543	89.53337	19	2.695313	0.9558442
ILMN_1739594	95.34524	22	2.462008	0.6142857
ILMN_2353978	98.21824	22	2.843507	0.3649351
ILMN_1785474	98.50272	22	2.700722	0.3480519
ILMN_2188959	93.7897	19	1.639401	0.7311688
