Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_a.AVG_Signal	KHYG1_si308_a.Avg_NBEADS	KHYG1_si308_a.BEAD_STDERR	KHYG1_si308_a.Detection Pval
ILMN_1660890	94.30626	21	3.008476	0.8493506
ILMN_1778104	531.4341	16	32.28893	0
ILMN_2053679	857.6678	22	28.86568	0
ILMN_1795104	108.2955	25	3.81841	0.04545455
ILMN_1740920	100.7652	18	2.694942	0.3298701
ILMN_2263466	127.8623	22	3.409664	0.001298701
ILMN_1806408	1023.171	26	33.74237	0
ILMN_2352009	291.8513	17	18.74734	0
ILMN_1693148	99.73416	23	1.624981	0.4051948
ILMN_1808395	320.1917	20	14.08402	0
ILMN_3236270	134.0134	25	4.140734	0
ILMN_1743847	99.1086	18	2.422017	0.451948
ILMN_1800008	1153.707	25	38.45703	0
ILMN_2133799	111.9975	19	5.079067	0.01818182
ILMN_1708672	1134.867	20	37.27437	0
ILMN_1665945	310.4984	29	11.72515	0
ILMN_1676288	106.4178	17	2.479454	0.07272727
ILMN_1693250	109.0747	15	3.854033	0.02987013
ILMN_2295980	94.5216	23	2.1872	0.8311688
ILMN_2410362	106.4233	24	2.956604	0.07272727
ILMN_1684271	236.2739	28	7.531865	0
ILMN_1726388	105.0783	14	1.458238	0.1
ILMN_2106002	96.45876	19	2.842895	0.6831169
ILMN_1779685	97.06792	23	3.373664	0.6220779
ILMN_1665932	92.19869	28	1.911851	0.9467533
ILMN_1769694	100.9981	22	2.992754	0.3194805
ILMN_1727251	93.91377	31	2.615722	0.8636364
ILMN_1734479	105.5786	26	2.704617	0.08831169
ILMN_2368728	99.30802	35	2.364395	0.4363636
ILMN_2394897	96.91896	20	3.654851	0.6363636
ILMN_2394902	103.3038	18	4.046597	0.1714286
ILMN_2287535	88.6657	17	2.971139	0.9961039
ILMN_1750295	97.79102	26	2.204617	0.5623376
ILMN_3187680	114.1973	22	2.644844	0.009090909
ILMN_3242266	104.5925	27	2.622599	0.1207792
ILMN_1780630	108.4384	21	3.589124	0.04285714
ILMN_1716480	325.9499	22	8.161784	0
ILMN_1715192	97.66106	25	3.12774	0.574026
ILMN_2339410	99.00308	16	3.29076	0.4610389
ILMN_1779984	102.1259	21	3.358862	0.2402597
ILMN_1667018	97.08521	28	2.895794	0.6220779
ILMN_1773243	101.2336	21	1.700304	0.3012987
ILMN_3241214	102.5226	25	4.104767	0.2155844
ILMN_3235340	149.5249	29	5.358068	0
ILMN_1761000	100.0947	21	2.265801	0.3792208
ILMN_3237774	104.4666	15	2.528733	0.1246753
ILMN_2333219	97.60551	22	2.942266	0.5753247
ILMN_1780485	98.62556	11	2.879653	0.4896104
ILMN_1735471	97.92867	23	3.491056	0.5532467
ILMN_1699636	212.4769	24	7.245657	0
ILMN_2371379	947.7955	27	34.56535	0
ILMN_1749014	618.9937	11	50.54503	0
ILMN_1727091	96.68874	21	2.746372	0.6623377
ILMN_1771348	1153.692	17	50.95132	0
ILMN_2134039	839.178	23	24.78799	0
ILMN_1750800	398.8148	22	11.46716	0
ILMN_1654861	238.622	17	6.529398	0
ILMN_2121389	106.5936	27	2.520041	0.07142857
ILMN_1715543	92.58352	32	2.103305	0.9324675
ILMN_1739594	95.87402	27	1.623966	0.7272727
ILMN_2353978	103.8875	33	2.779925	0.1402597
ILMN_1785474	97.85647	22	3.281261	0.5558441
ILMN_2188959	92.89162	31	2.015973	0.9233766
ILMN_1716237	96.53407	26	3.228137	0.674026
ILMN_1764321	95.33791	19	3.121248	0.7727273
