Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_a.AVG_Signal	KHYG1_ctrl_a.Avg_NBEADS	KHYG1_ctrl_a.BEAD_STDERR	KHYG1_ctrl_a.Detection Pval
ILMN_1745116	128.9986	25	4.169364	0
ILMN_2318685	129.9729	20	3.064171	0
ILMN_2245305	155.9529	31	3.264185	0
ILMN_1707925	98.02188	17	2.462413	0.2818182
ILMN_1698311	95.29839	30	2.242644	0.5116883
ILMN_2367487	89.86926	22	2.155286	0.9233766
ILMN_1785285	96.35633	17	2.949347	0.4155844
ILMN_2073969	100.293	22	2.5762	0.1701299
ILMN_1794213	357.7015	24	11.75077	0
ILMN_2227533	167.413	25	5.628203	0
ILMN_1769390	146.2456	17	4.779141	0
ILMN_2403446	106.1879	28	2.727269	0.03766234
ILMN_1787618	90.53759	28	2.871238	0.887013
ILMN_1723662	115.4538	24	3.432333	0.001298701
ILMN_1801767	279.8174	25	12.12118	0
ILMN_1700633	96.16986	17	3.535063	0.4363636
ILMN_1655702	132.104	22	6.161857	0
ILMN_1706344	202.4008	22	8.875728	0
ILMN_1719498	108.3427	27	4.010858	0.02727273
ILMN_1712707	99.839	28	2.074296	0.1779221
ILMN_1699750	99.79509	18	2.813984	0.1805195
ILMN_1739081	99.60206	14	2.130608	0.1935065
ILMN_2329958	221.4358	12	14.891	0
ILMN_1775944	109.0576	29	3.228758	0.01558442
ILMN_1724497	236.1012	16	12.81653	0
ILMN_1720988	119.3988	18	5.535315	0
ILMN_1707274	94.12946	24	3.425762	0.6168831
ILMN_1755658	185.5412	21	5.823712	0
ILMN_1673639	92.23005	24	2.748754	0.7792208
ILMN_1713732	131.3958	20	3.056553	0
ILMN_1708922	98.26454	18	3.743049	0.2636364
ILMN_2268241	98.37114	23	2.328737	0.2584416
ILMN_1741628	92.53167	31	2.09067	0.7532467
ILMN_1657870	92.32544	21	2.250628	0.7766234
ILMN_2240003	91.77406	22	2.335251	0.8064935
ILMN_1785424	280.2542	22	13.90505	0
ILMN_1731610	107.8599	27	2.862112	0.03116883
ILMN_1696682	100.9611	25	2.626547	0.1363636
ILMN_2396672	168.2471	24	8.004415	0
ILMN_1758825	95.30633	17	2.401841	0.5116883
ILMN_1656940	90.76674	19	2.429394	0.8727273
ILMN_1656979	95.03269	24	1.987869	0.5272727
ILMN_1731433	104.186	21	2.408026	0.05584415
ILMN_1672878	551.4093	14	15.46806	0
ILMN_1655114	94.36601	22	2.482671	0.5844156
ILMN_1657045	91.4314	26	2.824723	0.825974
ILMN_1766991	94.29815	26	3.385262	0.5935065
ILMN_1658083	157.4173	31	5.793564	0
ILMN_1802096	126.6683	25	3.850013	0
ILMN_2367165	99.99033	27	2.163984	0.174026
ILMN_1753370	98.87879	24	2.8863	0.2311688
