Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_b.AVG_Signal	KHYG1_ctrl_b.Avg_NBEADS	KHYG1_ctrl_b.BEAD_STDERR	KHYG1_ctrl_b.Detection Pval
ILMN_1727091	103.5906	21	3.51768	0.08181818
ILMN_1771348	949.3807	18	35.39031	0
ILMN_2134039	709.1472	24	13.18466	0
ILMN_1750800	367.5685	27	9.485875	0
ILMN_1654861	250.5322	19	12.11078	0
ILMN_2121389	97.21025	29	2.102322	0.3779221
ILMN_1715543	89.07869	23	1.961808	0.9597403
ILMN_1739594	95.46182	20	2.965162	0.5532467
ILMN_2353978	96.66251	23	4.218052	0.4298701
ILMN_1785474	97.79684	31	2.150909	0.3311688
ILMN_2188959	90.19096	25	2.043167	0.9207792
ILMN_1716237	97.84689	26	2.538454	0.325974
ILMN_1764321	92.98842	23	2.213242	0.774026
ILMN_2156699	91.85327	26	2.703297	0.8467532
ILMN_1784756	90.28673	30	2.405976	0.9181818
ILMN_1728883	96.7787	23	2.868694	0.4103896
ILMN_1740265	1827.266	26	75.07362	0
ILMN_1788078	99.25356	16	5.800452	0.2363636
ILMN_2252621	94.08676	29	2.318828	0.6818182
ILMN_2332250	646.9934	21	31.5793	0
ILMN_1719178	96.02579	29	2.14006	0.5012987
ILMN_1679600	156.2348	23	5.483221	0
ILMN_2367070	131.5705	20	4.176571	0
ILMN_1658995	180.4329	21	8.656782	0
ILMN_1750158	129.9763	26	3.261931	0
ILMN_1668839	93.89862	20	4.268569	0.7025974
ILMN_1765767	95.21951	19	3.980031	0.5779221
ILMN_1685703	127.4598	27	4.340241	0
ILMN_1743396	155.9857	17	4.191805	0
ILMN_1743680	99.33065	21	2.613623	0.2324675
ILMN_1669633	661.3494	17	29.43709	0
ILMN_2344956	2892.261	24	103.3623	0
ILMN_2104830	160.2462	17	4.880394	0
ILMN_2078599	97.29418	22	2.928711	0.3701299
ILMN_2234343	107.7596	16	3.868795	0.02727273
ILMN_1706598	149.6888	19	5.491163	0
ILMN_2306955	150.1117	28	4.133959	0
ILMN_1758323	99.10545	23	3.373343	0.2506494
ILMN_1728331	105.8951	24	3.976123	0.04155844
ILMN_2351906	104.0613	17	3.958939	0.07012987
ILMN_1705637	102.6599	36	2.564017	0.1090909
ILMN_1784203	94.74899	25	2.979513	0.6207792
ILMN_1666690	112.2698	24	3.756878	0.009090909
ILMN_1654468	98.00869	29	2.396374	0.3142857
ILMN_2320277	88.88371	15	2.617464	0.9610389
ILMN_2227011	98.34645	19	3.655723	0.2909091
ILMN_1730002	101.0041	8	1.74573	0.1584416
ILMN_3236756	136.1506	24	4.346367	0
ILMN_1716832	103.654	23	2.528237	0.08051948
ILMN_1684585	158.3049	23	5.435755	0
ILMN_2360705	478.7201	26	15.34425	0
ILMN_1654414	112.1022	14	3.551186	0.009090909
ILMN_1666096	128.3054	19	4.228499	0
ILMN_2391458	99.50732	22	3.168363	0.2298701
ILMN_2285506	99.6105	26	2.576876	0.2233766
ILMN_1691714	87.76476	20	1.992317	0.9831169
ILMN_1683598	295.6579	28	10.93118	0
ILMN_2370882	167.4202	21	3.735786	0
ILMN_2273911	103.2851	21	3.446541	0.09350649
ILMN_1807914	94.64289	16	2.481127	0.6298701
ILMN_1678517	100.3374	12	3.173618	0.1883117
ILMN_1705247	375.6984	24	10.97366	0
ILMN_1737418	103.8685	21	2.857699	0.07402597
ILMN_2278242	95.42406	27	1.979035	0.5584416
ILMN_1730025	100.0193	26	2.918447	0.2038961
ILMN_2378555	92.70258	25	2.109774	0.7896104
ILMN_1661434	91.56173	25	3.533268	0.8675325
ILMN_1809623	94.24999	26	2.470908	0.674026
ILMN_1657592	96.47009	23	2.879738	0.448052
ILMN_1765912	100.8609	15	4.512227	0.1649351
ILMN_1746128	96.11797	17	3.317742	0.487013
ILMN_1685952	102.101	26	2.922813	0.1220779
ILMN_1662738	109.5096	14	3.397008	0.01818182
ILMN_1771084	115.7971	22	4.026184	0.006493506
ILMN_1791923	100.8513	26	3.107992	0.1662338
ILMN_1801698	96.21768	24	2.79473	0.4766234
ILMN_1766966	98.80527	25	2.315893	0.2688312
ILMN_2070792	97.7496	26	3.039041	0.3311688
ILMN_1752269	180.0753	22	4.018794	0
ILMN_1697510	96.5735	20	2.670278	0.438961
ILMN_2254962	97.71511	21	3.899958	0.3350649
ILMN_2336595	110.3067	31	2.538216	0.01558442
ILMN_1714197	115.3155	28	2.61994	0.006493506
ILMN_1742859	99.43098	26	2.625256	0.2311688
ILMN_1659885	106.2009	15	5.240837	0.04025974
ILMN_2125869	90.33768	15	2.71881	0.9155844
ILMN_1671703	188.9176	19	3.530154	0
ILMN_2152131	10170.83	16	226.8779	0
ILMN_1777296	9192.56	18	422.6685	0
ILMN_2038777	6570.812	21	231.8107	0
ILMN_3246895	95.24982	25	2.436169	0.5753247
ILMN_1658660	96.28429	26	3.694578	0.4662338
ILMN_1829919	94.67477	24	2.264765	0.6285715
ILMN_2053178	13125.04	22	581.8372	0
ILMN_1704961	6895.059	16	291.7707	0
ILMN_1795325	95.13419	21	2.533298	0.587013
ILMN_1749297	904.9514	24	34.20632	0
ILMN_2328280	745.0452	29	28.82408	0
ILMN_1657855	101.3419	22	3.247757	0.138961
ILMN_1717900	91.81389	22	1.93408	0.8506494
ILMN_1796088	95.99638	21	3.106786	0.5038961
ILMN_1704078	97.9704	12	2.541337	0.3168831
ILMN_2232177	94.26131	18	3.367503	0.674026
ILMN_1654422	101.8158	25	3.404061	0.125974
ILMN_1665691	91.00694	16	2.629411	0.8896104
ILMN_1725534	249.0215	36	5.198748	0
ILMN_1798254	381.6331	13	21.03045	0
ILMN_1792314	341.023	27	11.48815	0
ILMN_1695821	251.6903	19	8.435102	0
ILMN_2388605	1949.82	23	70.76745	0
ILMN_1657153	902.0599	21	40.49474	0
ILMN_2260392	120.5106	17	3.475905	0
ILMN_2346451	96.24014	15	2.049227	0.4727273
ILMN_1787513	116.3686	24	2.680339	0.005194805
ILMN_1680941	97.85456	16	2.71026	0.325974
ILMN_1652594	196.9587	13	13.60288	0
ILMN_1697585	274.444	25	9.733019	0
ILMN_1689162	117.8402	24	3.681408	0.001298701
ILMN_1815392	125.0185	26	2.800241	0
ILMN_3241416	90.50712	18	2.636868	0.912987
ILMN_1760490	152.8953	30	4.586971	0
ILMN_1786544	94.66897	24	3.327165	0.6285715
ILMN_1763916	100.8532	18	4.104525	0.1662338
ILMN_2243308	260.1802	19	8.276892	0
ILMN_1766723	102.0849	21	1.757414	0.1220779
ILMN_1689217	102.0765	9	5.207281	0.1220779
ILMN_1670912	98.4315	19	5.967045	0.2883117
ILMN_2152711	101.2036	13	4.142313	0.1454545
ILMN_1668983	92.88171	34	2.289573	0.7779221
ILMN_1824337	101.7574	16	3.712258	0.1298701
ILMN_1807493	94.41483	15	4.480821	0.6558442
ILMN_3250257	100.1575	25	2.461908	0.1948052
ILMN_1683883	246.6519	23	11.40724	0
ILMN_1670193	107.1643	24	2.361805	0.02987013
ILMN_2319825	483.0616	29	14.87176	0
ILMN_1694233	574.3311	23	19.75265	0
ILMN_1686432	135.4247	27	3.613623	0
ILMN_1697550	111.9117	18	3.843849	0.009090909
ILMN_2158705	148.9644	16	4.500738	0
ILMN_1803686	629.0961	25	18.88491	0
ILMN_1745580	94.25788	30	2.76598	0.674026
ILMN_1745108	97.45898	11	1.634348	0.3545454
ILMN_1725043	153.0907	24	4.486077	0
ILMN_2148360	113.2846	21	3.514627	0.007792208
ILMN_1718946	163.337	16	6.340388	0
ILMN_1711374	96.75127	23	3.024929	0.4103896
ILMN_1726266	100.2774	22	3.042349	0.1896104
ILMN_1705689	102.9989	15	5.51983	0.1012987
ILMN_1785393	98.47783	15	2.040458	0.287013
ILMN_2384544	149.3257	12	6.505461	0
ILMN_1756920	709.3209	27	25.74976	0
ILMN_1799728	117.131	20	5.22859	0.003896104
ILMN_1751500	109.1189	20	2.956336	0.01948052
ILMN_2121068	209.6106	16	9.382983	0
ILMN_1765779	111.0634	22	4.508717	0.01168831
ILMN_2201386	95.70903	23	2.185399	0.5285714
ILMN_1682225	87.74237	24	2.605936	0.9844156
ILMN_1788481	98.6012	14	4.049541	0.2779221
ILMN_1713751	88.6188	19	2.913125	0.9649351
ILMN_1662675	96.73158	27	2.567509	0.412987
ILMN_1737629	91.70225	21	2.463317	0.8571429
ILMN_1812112	95.64889	30	2.272477	0.5311688
ILMN_3241313	97.23123	17	3.791279	0.3779221
ILMN_1675210	103.2646	28	1.86595	0.09350649
ILMN_1706302	87.11994	16	2.586467	0.987013
ILMN_2351754	91.99029	28	1.889188	0.8415585
ILMN_2060086	89.85239	27	2.719045	0.9363636
ILMN_1664236	90.63626	23	2.950739	0.9038961
ILMN_1664631	93.79438	17	2.963579	0.7116883
ILMN_1802100	94.25907	18	3.903398	0.674026
ILMN_2194158	110.7861	12	7.115549	0.01428571
ILMN_2100871	93.56501	19	4.138722	0.7272727
ILMN_1806841	99.46407	27	2.120775	0.2311688
ILMN_1798045	96.56498	20	3.750532	0.4415585
ILMN_2293012	89.28516	22	2.323817	0.9532468
ILMN_1703383	102.2975	26	3.100333	0.1181818
ILMN_1651657	99.84312	15	2.55365	0.2103896
ILMN_1671297	96.78242	22	3.358938	0.4103896
ILMN_1669486	92.86642	23	3.182165	0.7779221
ILMN_1795204	94.32511	16	4.003481	0.6701299
ILMN_2223911	99.22108	21	3.464998	0.2415584
ILMN_1685531	96.43271	19	2.795633	0.4493507
ILMN_1764554	97.08236	18	3.243316	0.3922078
ILMN_2302214	96.11247	23	3.006365	0.4909091
ILMN_1783312	98.57991	22	2.240835	0.2792208
ILMN_2143210	105.9762	19	2.517991	0.04155844
ILMN_1750294	99.48376	20	3.485166	0.2311688
ILMN_1708348	145.5438	22	4.690531	0
ILMN_1727524	112.3121	27	4.073925	0.009090909
ILMN_1716909	95.25043	24	2.708133	0.5753247
